miRNA,Gene,ΔG open,Probability exact,Conservation PhyloP,miRmap score
hsa-miR-2053,BDNF,83.2497,28.3800615476888,83.1013041982363,17.6357
hsa-miR-96-5p,BDNF,86.3077,2.64774024378362,89.5697483452541,18.0467
hsa-miR-448,BDNF,45.4522,9.58324032921059,21.2643921838682,18.1556
hsa-miR-449c-5p,BDNF,20.5955,21.0361771967471,26.5726272086524,18.3685
hsa-miR-4271,BDNF,62.7709,12.3692049653901,34.667456556808,18.5914
hsa-miR-32-5p,BDNF,65.5087,16.4341499056586,29.9260941643387,18.8232
hsa-miR-3123,BDNF,71.6787,14.448658393908,75.3568059174026,18.8305
hsa-miR-6500-3p,BDNF,55.2312,35.6562239236706,48.4233067298929,18.907
hsa-miR-379-3p,BDNF,92.6859,30.7456604573216,89.5697483452541,19.3899
hsa-miR-216a-3p,BDNF,45.9742,9.14474363933122,62.1108181913292,19.6414
hsa-miR-652-5p,BDNF,43.4591,6.01415903542346,81.8796217401115,20.3976
hsa-miR-4646-5p,BDNF,62.3714,15.27981707012,18.4362643062026,20.4129
hsa-miR-4477a,BDNF,86.7514,3.59214579989767,4.82604411141757,20.5534
hsa-miR-3613-3p,BDNF,65.2523,0.00964248156737028,52.4950783919584,20.9748
hsa-miR-515-5p,BDNF,31.5917,33.9365551045748,40.4980639771634,20.9857
hsa-miR-6513-3p,BDNF,63.805,7.57091251333877,4.82604411141757,21.2666
hsa-miR-3607-5p,BDNF,60.6607,45.9702559261762,80.9158043706583,21.3539
hsa-miR-891b,BDNF,78.397,8.9056952910767,40.4980639771634,21.7906
hsa-miR-4253,BDNF,42.2912,15.4766940833268,16.3830706397283,21.8021
hsa-miR-1236-3p,BDNF,25.2663,51.6117582201574,73.5045721696044,22.0214
hsa-miR-3154,BDNF,51.7785,15.9921602365126,8.31631975953595,22.101
hsa-miR-6511a-5p,BDNF,20.9508,21.0361771967471,26.5726272086524,22.4317
hsa-miR-204-3p,BDNF,62.3323,15.27981707012,18.4362643062026,22.509
hsa-miR-624-3p,BDNF,62.1657,5.96365411791276,89.5697483452541,22.6472
hsa-miR-548s,BDNF,12.946,8.05017095461497,59.342063343396,22.7022
hsa-miR-1183,BDNF,65.3151,14.8655776109788,75.3568059174026,23.0192
hsa-miR-654-3p,BDNF,13.9802,8.56587720171932,75.3568059174026,23.2162
hsa-miR-563,BDNF,43.9991,12.0298515739396,4.82604411141757,23.3358
hsa-miR-1303,BDNF,60.3205,21.5961846443055,56.1662822887614,23.445
hsa-miR-5706,BDNF,11.61,10.8972975803025,60.4632724056395,23.5024
hsa-miR-490-3p,BDNF,25.3191,6.69382619399867,5.74912866829957,23.699
hsa-miR-376b-5p,BDNF,46.4338,20.1965222938046,59.342063343396,24.5862
hsa-miR-1299,BDNF,11.61,10.8972975803025,60.4632724056395,24.8102
hsa-miR-382-5p,BDNF,70.1486,31.1151495080321,96.2803840462319,24.8227
hsa-miR-4662b,BDNF,59.5191,9.15383622837548,81.5621735910917,24.8817
hsa-miR-4712-5p,BDNF,40.7349,19.6212882448314,75.3568059174026,24.964
hsa-miR-3152-5p,BDNF,86.9561,6.14905309282015,62.1108181913292,25.0699
hsa-miR-769-3p,BDNF,48.0255,45.787172695838,10.7328007569503,25.1528
hsa-miR-549a,BDNF,48.5029,13.4086102635968,89.5697483452541,25.5233
hsa-miR-376c-5p,BDNF,46.7457,20.1965222938046,59.342063343396,26.0849
hsa-miR-380-5p,BDNF,41.4145,12.0298515739396,4.82604411141757,26.3125
hsa-miR-5000-5p,BDNF,73.0596,3.88257424672082,89.5697483452541,26.3874
hsa-miR-3198,BDNF,92.9694,16.4520330301076,63.9914060722739,26.3889
hsa-miR-518c-5p,BDNF,8.43492,56.5214619953787,80.7644248042482,26.8783
hsa-miR-508-5p,BDNF,25.2683,7.19715598685029,19.1025208005789,27.2046
hsa-miR-3128,BDNF,74.2764,37.210684891912,37.9812145991756,27.7703
hsa-miR-4799-3p,BDNF,72.664,10.4734001496637,74.321171204225,27.8175
hsa-miR-6132,BDNF,18.5326,26.834724148352,14.7492687324665,28.0433
hsa-miR-4704-5p,BDNF,53.8772,10.780836539878,35.6284385129465,28.2696
hsa-let-7e-3p,BDNF,40.0218,75.6595186318302,26.1259445962864,28.3993
hsa-miR-363-3p,BDNF,65.5087,16.4341499056586,29.9260941643387,28.5523
hsa-miR-16-2-3p,BDNF,92.1167,4.23560524656329,89.1856942371668,28.7135
hsa-miR-198,BDNF,22.1216,64.815405726968,5.82995107468072,28.7528
hsa-miR-518a-5p,BDNF,66.4858,5.71545896585818,34.5716563421304,28.8468
hsa-miR-323b-5p,BDNF,63.7323,10.6824677379606,5.01184244500841,29.1882
hsa-miR-495-5p,BDNF,70.1486,22.9540629080144,93.6771201967147,29.2545
